species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,body_mass_g_capped,bill_ratio
Adelie,Biscoe,40.5,18.9,180.0,3950.0,Male,3950.0,2.1428571428571432
Adelie,Dream,39.5,16.7,178.0,3250.0,Female,3250.0,2.3652694610778444
Adelie,Dream,37.2,18.1,178.0,3900.0,Male,3900.0,2.0552486187845305
Adelie,Dream,39.5,17.8,188.0,3300.0,Female,3300.0,2.2191011235955056
Adelie,Dream,40.9,18.9,184.0,3900.0,Male,3900.0,2.164021164021164
Adelie,Dream,36.4,17.0,195.0,3325.0,Female,3325.0,2.1411764705882352
Adelie,Dream,39.2,21.1,196.0,4150.0,Male,4150.0,1.8578199052132702
Adelie,Dream,38.8,20.0,190.0,3950.0,Male,3950.0,1.94
Adelie,Dream,42.2,18.5,180.0,3550.0,Female,3550.0,2.2810810810810813
Adelie,Dream,37.6,19.3,181.0,3300.0,Female,3300.0,1.9481865284974094
Adelie,Dream,39.8,19.1,184.0,4650.0,Male,4650.0,2.083769633507853
Adelie,Dream,36.5,18.0,182.0,3150.0,Female,3150.0,2.0277777777777777
Adelie,Dream,40.8,18.4,195.0,3900.0,Male,3900.0,2.217391304347826
Adelie,Dream,36.0,18.5,186.0,3100.0,Female,3100.0,1.945945945945946
Adelie,Dream,44.1,19.7,196.0,4400.0,Male,4400.0,2.238578680203046
Adelie,Dream,37.0,16.9,185.0,3000.0,Female,3000.0,2.1893491124260356
Adelie,Dream,39.6,18.8,190.0,4600.0,Male,4600.0,2.106382978723404
Adelie,Dream,41.1,19.0,182.0,3425.0,Male,3425.0,2.1631578947368424
Adelie,Dream,37.5,18.9,179.0,2975.0,Male,2975.0,1.9841269841269842
Adelie,Dream,36.0,17.9,190.0,3450.0,Female,3450.0,2.011173184357542
Adelie,Dream,42.3,21.2,191.0,4150.0,Male,4150.0,1.9952830188679245
Adelie,Biscoe,39.6,17.7,186.0,3500.0,Female,3500.0,2.2372881355932206
Adelie,Biscoe,40.1,18.9,188.0,4300.0,Male,4300.0,2.121693121693122
Adelie,Biscoe,35.0,17.9,190.0,3450.0,Female,3450.0,1.9553072625698324
Adelie,Biscoe,42.0,19.5,200.0,4050.0,Male,4050.0,2.1538461538461537
Adelie,Biscoe,34.5,18.1,187.0,2900.0,Female,2900.0,1.9060773480662982
Adelie,Biscoe,41.4,18.6,191.0,3700.0,Male,3700.0,2.225806451612903
Adelie,Biscoe,39.0,17.5,186.0,3550.0,Female,3550.0,2.2285714285714286
Adelie,Biscoe,40.6,18.8,193.0,3800.0,Male,3800.0,2.1595744680851063
Adelie,Biscoe,36.5,16.6,181.0,2850.0,Female,2850.0,2.1987951807228914
Adelie,Biscoe,37.6,19.1,194.0,3750.0,Male,3750.0,1.9685863874345548
Adelie,Biscoe,35.7,16.9,185.0,3150.0,Female,3150.0,2.112426035502959
Adelie,Biscoe,41.3,21.1,195.0,4400.0,Male,4400.0,1.9573459715639807
Adelie,Biscoe,37.6,17.0,185.0,3600.0,Female,3600.0,2.211764705882353
Adelie,Biscoe,41.1,18.2,192.0,4050.0,Male,4050.0,2.258241758241758
Adelie,Biscoe,36.4,17.1,184.0,2850.0,Female,2850.0,2.1286549707602336
Adelie,Biscoe,41.6,18.0,192.0,3950.0,Male,3950.0,2.3111111111111113
Adelie,Biscoe,35.5,16.2,195.0,3350.0,Female,3350.0,2.191358024691358
Adelie,Biscoe,41.1,19.1,188.0,4100.0,Male,4100.0,2.1518324607329844
Adelie,Torgersen,35.9,16.6,190.0,3050.0,Female,3050.0,2.1626506024096384
Adelie,Torgersen,41.8,19.4,198.0,4450.0,Male,4450.0,2.154639175257732
Adelie,Torgersen,33.5,19.0,190.0,3600.0,Female,3600.0,1.763157894736842
Adelie,Torgersen,39.7,18.4,190.0,3900.0,Male,3900.0,2.1576086956521743
Adelie,Torgersen,39.6,17.2,196.0,3550.0,Female,3550.0,2.302325581395349
Adelie,Torgersen,45.8,18.9,197.0,4150.0,Male,4150.0,2.4232804232804233
Adelie,Torgersen,35.5,17.5,190.0,3700.0,Female,3700.0,2.0285714285714285
Adelie,Torgersen,42.8,18.5,195.0,4250.0,Male,4250.0,2.3135135135135134
Adelie,Torgersen,40.9,16.8,191.0,3700.0,Female,3700.0,2.4345238095238093
Adelie,Torgersen,37.2,19.4,184.0,3900.0,Male,3900.0,1.9175257731958766
Adelie,Torgersen,36.2,16.1,187.0,3550.0,Female,3550.0,2.248447204968944
Adelie,Torgersen,42.1,19.1,195.0,4000.0,Male,4000.0,2.2041884816753927
Adelie,Torgersen,34.6,17.2,189.0,3200.0,Female,3200.0,2.011627906976744
Adelie,Torgersen,42.9,17.6,196.0,4700.0,Male,4700.0,2.4374999999999996
Adelie,Torgersen,36.7,18.8,187.0,3800.0,Female,3800.0,1.952127659574468
Adelie,Torgersen,35.1,19.4,193.0,4200.0,Male,4200.0,1.8092783505154642
Adelie,Dream,37.3,17.8,191.0,3350.0,Female,3350.0,2.095505617977528
Adelie,Dream,41.3,20.3,194.0,3550.0,Male,3550.0,2.0344827586206895
Adelie,Dream,36.3,19.5,190.0,3800.0,Male,3800.0,1.8615384615384614
Adelie,Dream,36.9,18.6,189.0,3500.0,Female,3500.0,1.9838709677419353
Adelie,Dream,38.3,19.2,189.0,3950.0,Male,3950.0,1.9947916666666665
Adelie,Dream,38.9,18.8,190.0,3600.0,Female,3600.0,2.0691489361702127
Adelie,Dream,35.7,18.0,202.0,3550.0,Female,3550.0,1.9833333333333334
Adelie,Dream,41.1,18.1,205.0,4300.0,Male,4300.0,2.270718232044199
Adelie,Dream,34.0,17.1,185.0,3400.0,Female,3400.0,1.9883040935672514
Adelie,Dream,39.6,18.1,186.0,4450.0,Male,4450.0,2.187845303867403
Adelie,Dream,36.2,17.3,187.0,3300.0,Female,3300.0,2.092485549132948
Adelie,Dream,40.8,18.9,208.0,4300.0,Male,4300.0,2.1587301587301586
Adelie,Dream,38.1,18.6,190.0,3700.0,Female,3700.0,2.0483870967741935
Adelie,Dream,40.3,18.5,196.0,4350.0,Male,4350.0,2.1783783783783783
Adelie,Dream,33.1,16.1,178.0,2900.0,Female,2900.0,2.0559006211180124
Adelie,Dream,43.2,18.5,192.0,4100.0,Male,4100.0,2.3351351351351353
Adelie,Biscoe,35.0,17.9,192.0,3725.0,Female,3725.0,1.9553072625698324
Adelie,Biscoe,41.0,20.0,203.0,4725.0,Male,4725.0,2.05
Adelie,Biscoe,37.7,16.0,183.0,3075.0,Female,3075.0,2.35625
Adelie,Biscoe,37.8,20.0,190.0,4250.0,Male,4250.0,1.89
Adelie,Biscoe,37.9,18.6,193.0,2925.0,Female,2925.0,2.0376344086021505
Adelie,Biscoe,39.7,18.9,184.0,3550.0,Male,3550.0,2.100529100529101
Adelie,Biscoe,38.6,17.2,199.0,3750.0,Female,3750.0,2.244186046511628
Adelie,Biscoe,38.2,20.0,190.0,3900.0,Male,3900.0,1.9100000000000001
Adelie,Biscoe,38.1,17.0,181.0,3175.0,Female,3175.0,2.2411764705882353
Adelie,Biscoe,43.2,19.0,197.0,4775.0,Male,4775.0,2.2736842105263158
Adelie,Biscoe,38.1,16.5,198.0,3825.0,Female,3825.0,2.309090909090909
Adelie,Biscoe,45.6,20.3,191.0,4600.0,Male,4600.0,2.2463054187192117
Adelie,Biscoe,39.7,17.7,193.0,3200.0,Female,3200.0,2.2429378531073447
Adelie,Biscoe,42.2,19.5,197.0,4275.0,Male,4275.0,2.1641025641025644
Adelie,Biscoe,39.6,20.7,191.0,3900.0,Female,3900.0,1.9130434782608696
Adelie,Biscoe,42.7,18.3,196.0,4075.0,Male,4075.0,2.3333333333333335
Adelie,Torgersen,38.6,17.0,188.0,2900.0,Female,2900.0,2.2705882352941176
Adelie,Torgersen,37.3,20.5,199.0,3775.0,Male,3775.0,1.819512195121951
Adelie,Torgersen,35.7,17.0,189.0,3350.0,Female,3350.0,2.1
Adelie,Torgersen,41.1,18.6,189.0,3325.0,Male,3325.0,2.2096774193548385
Adelie,Torgersen,36.2,17.2,187.0,3150.0,Female,3150.0,2.104651162790698
Adelie,Torgersen,37.7,19.8,198.0,3500.0,Male,3500.0,1.9040404040404042
Adelie,Torgersen,40.2,17.0,176.0,3450.0,Female,3450.0,2.364705882352941
Adelie,Torgersen,41.4,18.5,202.0,3875.0,Male,3875.0,2.2378378378378376
Adelie,Torgersen,35.2,15.9,186.0,3050.0,Female,3050.0,2.2138364779874213
Adelie,Torgersen,40.6,19.0,199.0,4000.0,Male,4000.0,2.136842105263158
Adelie,Torgersen,38.8,17.6,191.0,3275.0,Female,3275.0,2.204545454545454
Adelie,Torgersen,41.5,18.3,195.0,4300.0,Male,4300.0,2.26775956284153
Adelie,Torgersen,39.0,17.1,191.0,3050.0,Female,3050.0,2.280701754385965
Adelie,Torgersen,44.1,18.0,210.0,4000.0,Male,4000.0,2.45
Adelie,Torgersen,38.5,17.9,190.0,3325.0,Female,3325.0,2.1508379888268156
Adelie,Torgersen,43.1,19.2,197.0,3500.0,Male,3500.0,2.244791666666667
Adelie,Dream,36.8,18.5,193.0,3500.0,Female,3500.0,1.989189189189189
Adelie,Dream,37.5,18.5,199.0,4475.0,Male,4475.0,2.027027027027027
Adelie,Dream,38.1,17.6,187.0,3425.0,Female,3425.0,2.164772727272727
Adelie,Dream,41.1,17.5,190.0,3900.0,Male,3900.0,2.3485714285714288
Adelie,Dream,35.6,17.5,191.0,3175.0,Female,3175.0,2.0342857142857143
Adelie,Dream,40.2,20.1,200.0,3975.0,Male,3975.0,2.0
Adelie,Dream,37.0,16.5,185.0,3400.0,Female,3400.0,2.242424242424242
Adelie,Dream,39.7,17.9,193.0,4250.0,Male,4250.0,2.217877094972067
Adelie,Dream,40.2,17.1,193.0,3400.0,Female,3400.0,2.350877192982456
Adelie,Dream,40.6,17.2,187.0,3475.0,Male,3475.0,2.36046511627907
Adelie,Dream,32.1,15.5,188.0,3050.0,Female,3050.0,2.070967741935484
Adelie,Dream,40.7,17.0,190.0,3725.0,Male,3725.0,2.394117647058824
Adelie,Dream,37.3,16.8,192.0,3000.0,Female,3000.0,2.220238095238095
Adelie,Dream,39.0,18.7,185.0,3650.0,Male,3650.0,2.085561497326203
Adelie,Dream,39.2,18.6,190.0,4250.0,Male,4250.0,2.10752688172043
Adelie,Dream,36.6,18.4,184.0,3475.0,Female,3475.0,1.9891304347826089
Adelie,Dream,36.0,17.8,195.0,3450.0,Female,3450.0,2.0224719101123596
Adelie,Dream,37.8,18.1,193.0,3750.0,Male,3750.0,2.0883977900552484
Adelie,Dream,36.0,17.1,187.0,3700.0,Female,3700.0,2.1052631578947367
Adelie,Dream,41.5,18.5,201.0,4000.0,Male,4000.0,2.2432432432432434
Chinstrap,Dream,46.5,17.9,192.0,3500.0,Female,3500.0,2.597765363128492
Chinstrap,Dream,50.0,19.5,196.0,3900.0,Male,3900.0,2.5641025641025643
Chinstrap,Dream,51.3,19.2,193.0,3650.0,Male,3650.0,2.671875
Chinstrap,Dream,45.4,18.7,188.0,3525.0,Female,3525.0,2.427807486631016
Chinstrap,Dream,52.7,19.8,197.0,3725.0,Male,3725.0,2.6616161616161618
Chinstrap,Dream,45.2,17.8,198.0,3950.0,Female,3950.0,2.539325842696629
Chinstrap,Dream,46.1,18.2,178.0,3250.0,Female,3250.0,2.5329670329670333
Chinstrap,Dream,51.3,18.2,197.0,3750.0,Male,3750.0,2.8186813186813184
Chinstrap,Dream,46.0,18.9,195.0,4150.0,Female,4150.0,2.433862433862434
Chinstrap,Dream,51.3,19.9,198.0,3700.0,Male,3700.0,2.577889447236181
Chinstrap,Dream,46.6,17.8,193.0,3800.0,Female,3800.0,2.6179775280898876
Chinstrap,Dream,51.7,20.3,194.0,3775.0,Male,3775.0,2.5467980295566504
Chinstrap,Dream,47.0,17.3,185.0,3700.0,Female,3700.0,2.7167630057803467
Chinstrap,Dream,52.0,18.1,201.0,4050.0,Male,4050.0,2.87292817679558
Chinstrap,Dream,45.9,17.1,190.0,3575.0,Female,3575.0,2.6842105263157894
Chinstrap,Dream,50.5,19.6,201.0,4050.0,Male,4050.0,2.576530612244898
Chinstrap,Dream,50.3,20.0,197.0,3300.0,Male,3300.0,2.5149999999999997
Chinstrap,Dream,58.0,17.8,181.0,3700.0,Female,3700.0,3.258426966292135
Chinstrap,Dream,46.4,18.6,190.0,3450.0,Female,3450.0,2.494623655913978
Chinstrap,Dream,49.2,18.2,195.0,4400.0,Male,4400.0,2.7032967032967035
Chinstrap,Dream,42.4,17.3,181.0,3600.0,Female,3600.0,2.450867052023121
Chinstrap,Dream,48.5,17.5,191.0,3400.0,Male,3400.0,2.7714285714285714
Chinstrap,Dream,43.2,16.6,187.0,2900.0,Female,2900.0,2.602409638554217
Chinstrap,Dream,50.6,19.4,193.0,3800.0,Male,3800.0,2.6082474226804124
Chinstrap,Dream,46.7,17.9,195.0,3300.0,Female,3300.0,2.608938547486034
Chinstrap,Dream,52.0,19.0,197.0,4150.0,Male,4150.0,2.736842105263158
Chinstrap,Dream,50.5,18.4,200.0,3400.0,Female,3400.0,2.7445652173913047
Chinstrap,Dream,49.5,19.0,200.0,3800.0,Male,3800.0,2.6052631578947367
Chinstrap,Dream,46.4,17.8,191.0,3700.0,Female,3700.0,2.6067415730337076
Chinstrap,Dream,52.8,20.0,205.0,4550.0,Male,4550.0,2.6399999999999997
Chinstrap,Dream,40.9,16.6,187.0,3200.0,Female,3200.0,2.4638554216867465
Chinstrap,Dream,54.2,20.8,201.0,4300.0,Male,4300.0,2.605769230769231
Chinstrap,Dream,42.5,16.7,187.0,3350.0,Female,3350.0,2.5449101796407185
Chinstrap,Dream,51.0,18.8,203.0,4100.0,Male,4100.0,2.7127659574468086
Chinstrap,Dream,49.7,18.6,195.0,3600.0,Male,3600.0,2.672043010752688
Chinstrap,Dream,47.5,16.8,199.0,3900.0,Female,3900.0,2.827380952380952
Chinstrap,Dream,47.6,18.3,195.0,3850.0,Female,3850.0,2.601092896174863
Chinstrap,Dream,52.0,20.7,210.0,4800.0,Male,4800.0,2.5120772946859904
Chinstrap,Dream,46.9,16.6,192.0,2700.0,Female,2700.0,2.8253012048192767
Chinstrap,Dream,53.5,19.9,205.0,4500.0,Male,4500.0,2.6884422110552766
Chinstrap,Dream,49.0,19.5,210.0,3950.0,Male,3950.0,2.5128205128205128
Chinstrap,Dream,46.2,17.5,187.0,3650.0,Female,3650.0,2.64
Chinstrap,Dream,50.9,19.1,196.0,3550.0,Male,3550.0,2.664921465968586
Chinstrap,Dream,45.5,17.0,196.0,3500.0,Female,3500.0,2.676470588235294
Chinstrap,Dream,50.9,17.9,196.0,3675.0,Female,3675.0,2.8435754189944134
Chinstrap,Dream,50.8,18.5,201.0,4450.0,Male,4450.0,2.745945945945946
Chinstrap,Dream,50.1,17.9,190.0,3400.0,Female,3400.0,2.7988826815642462
Chinstrap,Dream,49.0,19.6,212.0,4300.0,Male,4300.0,2.5
Chinstrap,Dream,51.5,18.7,187.0,3250.0,Male,3250.0,2.7540106951871657
Chinstrap,Dream,49.8,17.3,198.0,3675.0,Female,3675.0,2.8786127167630053
Chinstrap,Dream,48.1,16.4,199.0,3325.0,Female,3325.0,2.932926829268293
Chinstrap,Dream,51.4,19.0,201.0,3950.0,Male,3950.0,2.705263157894737
Chinstrap,Dream,45.7,17.3,193.0,3600.0,Female,3600.0,2.6416184971098264
Chinstrap,Dream,50.7,19.7,203.0,4050.0,Male,4050.0,2.5736040609137056
Chinstrap,Dream,42.5,17.3,187.0,3350.0,Female,3350.0,2.4566473988439306
Chinstrap,Dream,52.2,18.8,197.0,3450.0,Male,3450.0,2.776595744680851
Chinstrap,Dream,45.2,16.6,191.0,3250.0,Female,3250.0,2.7228915662650603
Chinstrap,Dream,49.3,19.9,203.0,4050.0,Male,4050.0,2.477386934673367
Chinstrap,Dream,50.2,18.8,202.0,3800.0,Male,3800.0,2.670212765957447
Chinstrap,Dream,45.6,19.4,194.0,3525.0,Female,3525.0,2.350515463917526
Chinstrap,Dream,51.9,19.5,206.0,3950.0,Male,3950.0,2.6615384615384614
Chinstrap,Dream,46.8,16.5,189.0,3650.0,Female,3650.0,2.836363636363636
Chinstrap,Dream,45.7,17.0,195.0,3650.0,Female,3650.0,2.6882352941176473
Chinstrap,Dream,55.8,19.8,207.0,4000.0,Male,4000.0,2.818181818181818
Chinstrap,Dream,43.5,18.1,202.0,3400.0,Female,3400.0,2.4033149171270716
Chinstrap,Dream,49.6,18.2,193.0,3775.0,Male,3775.0,2.7252747252747254
Chinstrap,Dream,50.8,19.0,210.0,4100.0,Male,4100.0,2.6736842105263157
Chinstrap,Dream,50.2,18.7,198.0,3775.0,Female,3775.0,2.6844919786096257
Gentoo,Biscoe,46.1,13.2,211.0,4500.0,Female,4500.0,3.4924242424242427
Gentoo,Biscoe,50.0,16.3,230.0,5700.0,Male,5700.0,3.067484662576687
Gentoo,Biscoe,48.7,14.1,210.0,4450.0,Female,4450.0,3.4539007092198584
Gentoo,Biscoe,50.0,15.2,218.0,5700.0,Male,5700.0,3.2894736842105265
Gentoo,Biscoe,47.6,14.5,215.0,5400.0,Male,5400.0,3.282758620689655
Gentoo,Biscoe,46.5,13.5,210.0,4550.0,Female,4550.0,3.4444444444444446
Gentoo,Biscoe,45.4,14.6,211.0,4800.0,Female,4800.0,3.1095890410958904
Gentoo,Biscoe,46.7,15.3,219.0,5200.0,Male,5200.0,3.0522875816993467
Gentoo,Biscoe,43.3,13.4,209.0,4400.0,Female,4400.0,3.231343283582089
Gentoo,Biscoe,46.8,15.4,215.0,5150.0,Male,5150.0,3.038961038961039
Gentoo,Biscoe,40.9,13.7,214.0,4650.0,Female,4650.0,2.985401459854015
Gentoo,Biscoe,49.0,16.1,216.0,5550.0,Male,5550.0,3.043478260869565
Gentoo,Biscoe,45.5,13.7,214.0,4650.0,Female,4650.0,3.321167883211679
Gentoo,Biscoe,48.4,14.6,213.0,5850.0,Male,5850.0,3.315068493150685
Gentoo,Biscoe,45.8,14.6,210.0,4200.0,Female,4200.0,3.136986301369863
Gentoo,Biscoe,49.3,15.7,217.0,5850.0,Male,5850.0,3.140127388535032
Gentoo,Biscoe,42.0,13.5,210.0,4150.0,Female,4150.0,3.111111111111111
Gentoo,Biscoe,49.2,15.2,221.0,6300.0,Male,6300.0,3.2368421052631584
Gentoo,Biscoe,46.2,14.5,209.0,4800.0,Female,4800.0,3.1862068965517243
Gentoo,Biscoe,48.7,15.1,222.0,5350.0,Male,5350.0,3.2251655629139075
Gentoo,Biscoe,50.2,14.3,218.0,5700.0,Male,5700.0,3.5104895104895104
Gentoo,Biscoe,45.1,14.5,215.0,5000.0,Female,5000.0,3.110344827586207
Gentoo,Biscoe,46.5,14.5,213.0,4400.0,Female,4400.0,3.206896551724138
Gentoo,Biscoe,46.3,15.8,215.0,5050.0,Male,5050.0,2.9303797468354427
Gentoo,Biscoe,42.9,13.1,215.0,5000.0,Female,5000.0,3.2748091603053435
Gentoo,Biscoe,46.1,15.1,215.0,5100.0,Male,5100.0,3.0529801324503314
Gentoo,Biscoe,44.5,14.3,216.0,4100.0,Male,4100.0,3.1118881118881117
Gentoo,Biscoe,47.8,15.0,215.0,5650.0,Male,5650.0,3.1866666666666665
Gentoo,Biscoe,48.2,14.3,210.0,4600.0,Female,4600.0,3.370629370629371
Gentoo,Biscoe,50.0,15.3,220.0,5550.0,Male,5550.0,3.2679738562091503
Gentoo,Biscoe,47.3,15.3,222.0,5250.0,Male,5250.0,3.091503267973856
Gentoo,Biscoe,42.8,14.2,209.0,4700.0,Female,4700.0,3.0140845070422535
Gentoo,Biscoe,45.1,14.5,207.0,5050.0,Female,5050.0,3.110344827586207
Gentoo,Biscoe,59.6,17.0,230.0,6050.0,Male,6050.0,3.5058823529411764
Gentoo,Biscoe,49.1,14.8,220.0,5150.0,Female,5150.0,3.3175675675675675
Gentoo,Biscoe,48.4,16.3,220.0,5400.0,Male,5400.0,2.969325153374233
Gentoo,Biscoe,42.6,13.7,213.0,4950.0,Female,4950.0,3.109489051094891
Gentoo,Biscoe,44.4,17.3,219.0,5250.0,Male,5250.0,2.566473988439306
Gentoo,Biscoe,44.0,13.6,208.0,4350.0,Female,4350.0,3.235294117647059
Gentoo,Biscoe,48.7,15.7,208.0,5350.0,Male,5350.0,3.101910828025478
Gentoo,Biscoe,42.7,13.7,208.0,3950.0,Female,3950.0,3.1167883211678835
Gentoo,Biscoe,49.6,16.0,225.0,5700.0,Male,5700.0,3.1
Gentoo,Biscoe,45.3,13.7,210.0,4300.0,Female,4300.0,3.3065693430656933
Gentoo,Biscoe,49.6,15.0,216.0,4750.0,Male,4750.0,3.3066666666666666
Gentoo,Biscoe,50.5,15.9,222.0,5550.0,Male,5550.0,3.1761006289308176
Gentoo,Biscoe,43.6,13.9,217.0,4900.0,Female,4900.0,3.1366906474820144
Gentoo,Biscoe,45.5,13.9,210.0,4200.0,Female,4200.0,3.273381294964029
Gentoo,Biscoe,50.5,15.9,225.0,5400.0,Male,5400.0,3.1761006289308176
Gentoo,Biscoe,44.9,13.3,213.0,5100.0,Female,5100.0,3.37593984962406
Gentoo,Biscoe,45.2,15.8,215.0,5300.0,Male,5300.0,2.8607594936708862
Gentoo,Biscoe,46.6,14.2,210.0,4850.0,Female,4850.0,3.2816901408450705
Gentoo,Biscoe,48.5,14.1,220.0,5300.0,Male,5300.0,3.4397163120567376
Gentoo,Biscoe,45.1,14.4,210.0,4400.0,Female,4400.0,3.1319444444444446
Gentoo,Biscoe,50.1,15.0,225.0,5000.0,Male,5000.0,3.3400000000000003
Gentoo,Biscoe,46.5,14.4,217.0,4900.0,Female,4900.0,3.2291666666666665
Gentoo,Biscoe,45.0,15.4,220.0,5050.0,Male,5050.0,2.922077922077922
Gentoo,Biscoe,43.8,13.9,208.0,4300.0,Female,4300.0,3.151079136690647
Gentoo,Biscoe,45.5,15.0,220.0,5000.0,Male,5000.0,3.033333333333333
Gentoo,Biscoe,43.2,14.5,208.0,4450.0,Female,4450.0,2.9793103448275864
Gentoo,Biscoe,50.4,15.3,224.0,5550.0,Male,5550.0,3.2941176470588234
Gentoo,Biscoe,45.3,13.8,208.0,4200.0,Female,4200.0,3.2826086956521734
Gentoo,Biscoe,46.2,14.9,221.0,5300.0,Male,5300.0,3.1006711409395975
Gentoo,Biscoe,45.7,13.9,214.0,4400.0,Female,4400.0,3.287769784172662
Gentoo,Biscoe,54.3,15.7,231.0,5650.0,Male,5650.0,3.4585987261146496
Gentoo,Biscoe,45.8,14.2,219.0,4700.0,Female,4700.0,3.2253521126760565
Gentoo,Biscoe,49.8,16.8,230.0,5700.0,Male,5700.0,2.964285714285714
Gentoo,Biscoe,46.2,14.4,214.0,4650.0,Male,4650.0,3.2083333333333335
Gentoo,Biscoe,49.5,16.2,229.0,5800.0,Male,5800.0,3.055555555555556
Gentoo,Biscoe,43.5,14.2,220.0,4700.0,Female,4700.0,3.063380281690141
Gentoo,Biscoe,50.7,15.0,223.0,5550.0,Male,5550.0,3.3800000000000003
Gentoo,Biscoe,47.7,15.0,216.0,4750.0,Female,4750.0,3.18
Gentoo,Biscoe,46.4,15.6,221.0,5000.0,Male,5000.0,2.9743589743589745
Gentoo,Biscoe,48.2,15.6,221.0,5100.0,Male,5100.0,3.08974358974359
Gentoo,Biscoe,46.5,14.8,217.0,5200.0,Female,5200.0,3.1418918918918917
Gentoo,Biscoe,46.4,15.0,216.0,4700.0,Female,4700.0,3.0933333333333333
Gentoo,Biscoe,48.6,16.0,230.0,5800.0,Male,5800.0,3.0375
Gentoo,Biscoe,47.5,14.2,209.0,4600.0,Female,4600.0,3.3450704225352115
Gentoo,Biscoe,51.1,16.3,220.0,6000.0,Male,6000.0,3.1349693251533743
Gentoo,Biscoe,45.2,13.8,215.0,4750.0,Female,4750.0,3.2753623188405796
Gentoo,Biscoe,45.2,16.4,223.0,5950.0,Male,5950.0,2.75609756097561
Gentoo,Biscoe,49.1,14.5,212.0,4625.0,Female,4625.0,3.386206896551724
Gentoo,Biscoe,52.5,15.6,221.0,5450.0,Male,5450.0,3.3653846153846154
Gentoo,Biscoe,47.4,14.6,212.0,4725.0,Female,4725.0,3.2465753424657535
Gentoo,Biscoe,50.0,15.9,224.0,5350.0,Male,5350.0,3.144654088050314
Gentoo,Biscoe,44.9,13.8,212.0,4750.0,Female,4750.0,3.253623188405797
Gentoo,Biscoe,50.8,17.3,228.0,5600.0,Male,5600.0,2.936416184971098
Gentoo,Biscoe,43.4,14.4,218.0,4600.0,Female,4600.0,3.013888888888889
Gentoo,Biscoe,51.3,14.2,218.0,5300.0,Male,5300.0,3.612676056338028
Gentoo,Biscoe,47.5,14.0,212.0,4875.0,Female,4875.0,3.392857142857143
Gentoo,Biscoe,52.1,17.0,230.0,5550.0,Male,5550.0,3.0647058823529414
Gentoo,Biscoe,47.5,15.0,218.0,4950.0,Female,4950.0,3.1666666666666665
Gentoo,Biscoe,52.2,17.1,228.0,5400.0,Male,5400.0,3.052631578947368
Gentoo,Biscoe,45.5,14.5,212.0,4750.0,Female,4750.0,3.1379310344827585
Gentoo,Biscoe,49.5,16.1,224.0,5650.0,Male,5650.0,3.074534161490683
